categorie_bis,companies,noms,titre_com,commentaire,reponses,notes,date_experience,date_commentaire,site,nombre_pages,date_scrap,verified,année_experience,mois_experience,jour_experience,année_commentaire,mois_commentaire,jour_commentaire,leadtime_com_exp,nombre_caractères,nombre_maj,nombre_car_spé,caractères_spé,emojis_positifs_count,emojis_negatifs_count,commentaire_text,langue_bis
bank,Fortuneo ,ALEXANDRE COUDERT,Long temps d attente,"Attente longue , explication pas claire, solution  non trouvée","Bonjour,Nous sommes navrés d'apprendre que vous avez trouvé l'attente trop longue pour joindre nos conseillers. Nous mettons cependant tout en œuvre pour qu'ils soient accessibles à toute heure sans pour autant diminuer notre qualité de service et la protection des données personnelles de nos clients. Votre avis compte, pour nous permettre de mieux vous répondre nous vous invitons à formuler une réclamation par e-mail en utilisant le formulaire disponible sur votre « Accès Client », rubrique « Nous contacter ». Sélectionnez le motif ""Formuler une réclamation"". Cordialement,L’Équipe Fortuneo.",0.0,,2024-02-05,https://www.trustpilot.com/review/fortuneo.fr?page=4,10,14-09-2024,0,0,0,0,2024,2,5,,62,1,2,,0,0,"attente longue , explication pas claire, solution non trouvée",fr
bank,Orange Bank ,Sandrine Cazes,Patrick le commerciale de la boutique…,Patrick le commerciale de la boutique orange Pamiers 09 est en or !!,Bonjour Sandrine. Merci de votre élogieux sur le conseiller boutique. Nous allons le lui transmettre. Nous vous souhaitons une bonne journée.,0.0,,2020-11-26,https://www.trustpilot.com/review/orangebank.fr?page=40,41,14-09-2024,0,0,0,0,2020,11,26,,68,2,2,,0,0,patrick le commerciale de la boutique orange pamiers 09 est en or,fr
bank,Orange Bank ,Sabrina  Chakrouni,Top!,Vraiment Top!,"Bonjour Sabrina,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire votre satisfaction.A bientôt,Philippe",0.0,,2022-03-31,https://www.trustpilot.com/review/orangebank.fr?page=30,41,14-09-2024,0,0,0,0,2022,3,31,,13,2,1,,0,0,vraiment top,fr
bank,01 Banque en Ligne ,Daulet Iskakov,Claire et simple," November 17, 2019",,0.0,,2019-11-17,https://www.trustpilot.com/review/01banque-en-ligne.fr?page=3,3,14-09-2024,0,0,0,0,2019,11,17,,18,1,1,,0,0,"november 17, 2019",no
bank,Younited Credit ,client(e),satisfait,"satisfait, simple",,0.0,,2020-08-17,https://www.trustpilot.com/review/www.younited-credit.com?page=20,38,14-09-2024,1,0,0,0,2020,8,17,,17,0,1,,0,0,"satisfait, simple",fr
bank,Anytime ,JOSE MANUEL JOSE MANUEL,bon service,bon service et gentilesse,"Bonjour Jose, Merci pour ce retour d'expérience.À très bientôt, Jennifer - Anytime.",0.0,,2021-10-28,https://www.trustpilot.com/review/anyti.me?page=8,14,14-09-2024,0,0,0,0,2021,10,28,,25,0,0,,0,0,bon service et gentilesse,fr
bank,Younited Credit ,Mims,Rapide et efficace,Rapide et efficace. Merci Younited !,"Bonjour,Nous sommes enchantés de vous lire et ravis d’avoir contribué à la réalisation de votre projet.Bienvenue chez Younited.Excellente journée,Diane",0.0,,2022-06-19,https://www.trustpilot.com/review/www.younited-credit.com?page=7,38,14-09-2024,1,0,0,0,2022,6,19,,36,3,2,,0,0,rapide et efficace. merci younited,fr
bank,Sumeria ,Ivan,Super application merci," January 31, 2024",,0.0,,2024-02-05,https://www.trustpilot.com/review/sumeria.eu?page=9,51,14-09-2024,1,0,0,0,2024,2,5,,17,1,1,,0,0,"january 31, 2024",id
bank,Cofidis - O Cr&eacute;dito Por Telefone ,philippe Blettner,COFIDIS toujours à l écoute,COFIDIS toujours à l écoute. Excellent organisme de credit,,0.0,,2022-11-03,https://www.trustpilot.com/review/cofidis.pt?page=2,6,14-09-2024,0,0,0,0,2022,11,3,,58,8,1,,0,0,cofidis toujours à l écoute. excellent organisme de credit,fr
bank,Hello bank! France ,S.R,Got shooed away,"Orange bank was about to close, Hello Bank was then suggested as an alternative.My partner has a residence in France but does not speak English. The advisor I had on the phone said communication would be a problem, thus it would be better for him to open an account in one of their offices. Sounds to me more like passing along a ""problem"" he doesn't want to deal with. When told we were opening an account upon the recommendation of Orange Bank, he broke the number 1 rule of sales personnel. He said and get this, you are not obliged to open an account with us, it was only a recommendation. Bad vibes started from the message he left on my mobile. I played it 4 times to try to catch the name of the company. Never mentioned. This holds truth, one who can't handle small tasks, cannot achieve excellence anywhere.","Hello S.R,We are sorry to read about this situation. We are indeed a french bank and even if some of our advisors can speak a little english, we do not provide a full english service. The advisor suggested your partner to open an account with BNP Paribas which is our main company and which provide international services and english speaking advisors.Here's the link to follow : https://mabanque.bnpparibas/en/homeWe wish you the best and a nice day.Michael",0.0,,2024-05-02,https://www.trustpilot.com/review/hellobank.fr?page=2,4,14-09-2024,0,0,0,0,2024,5,2,,816,17,21,"""""''",0,0,"orange bank was about to close, hello bank was then suggested as an alternative.my partner has a residence in france but does not speak english. the advisor i had on the phone said communication would be a problem, thus it would be better for him to open an account in one of their offices. sounds to me more like passing along a problem he doesn't want to deal with. when told we were opening an account upon the recommendation of orange bank, he broke the number 1 rule of sales personnel. he said and get this, you are not obliged to open an account with us, it was only a recommendation. bad vibes started from the message he left on my mobile. i played it 4 times to try to catch the name of the company. never mentioned. this holds truth, one who can't handle small tasks, cannot achieve excellence anywhere.",en
bank,Younited Credit ,cliente,Action réaction !," February 13, 2023","Bonjour,Nous vous remercions d'avoir pris le temps de nous laisser un message.Nous sommes ravis d'avoir pu vous accompagner dans votre projet.Excellente journée,Amori",0.0,,2023-02-22,https://www.trustpilot.com/review/www.younited-credit.com?page=9,38,14-09-2024,1,0,0,0,2023,2,22,,18,1,1,,0,0,"february 13, 2023",en
bank,Younited Credit ,Gerard MAUCCI,Simple est efficace," June 23, 2021",,0.0,,2021-06-23,https://www.trustpilot.com/review/www.younited-credit.com?page=17,38,14-09-2024,1,0,0,0,2021,6,23,,14,1,1,,0,0,"june 23, 2021",et
bank,Younited Credit ,Sall,Procedure top,"Procedure top, simple et rapide.Tt est nickel. A part les interets qui sont élevés","Bonjour, Nous vous remercions pour votre commentaire et sommes navrés de lire que vous n'êtes pas pleinement satisfait de votre expérience Younited.Le taux d’intérêt dépend du montant emprunté, de la durée, et de votre situation personnelle que vous avez renseigné lors de la simulation de votre demande crédit.Chez Younited, nous nous efforçons de proposer des financements à des taux compétitifs afin de pouvoir accompagner tous nos clients dans leurs projets. Merci d’avoir pris le temps de nous faire un retour sur votre expérience auprès de Younited.Excellente journée,Tracy",0.0,,2023-05-30,https://www.trustpilot.com/review/www.younited-credit.com?page=2,38,14-09-2024,1,0,0,0,2023,5,30,,82,3,3,,0,0,"procedure top, simple et rapide.tt est nickel. a part les interets qui sont élevés",fr
bank,Younited Credit ,Erick,tres content de Younited personnel…,tres content de Younited personnel agreable à l'écoute et de bon conseil,"Bonjour   Monsieur,Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous être pleinement satisfait de votre expérience Younited.Excellente journée,DIANE de l'équipe Younited Credit",0.0,,2021-08-23,https://www.trustpilot.com/review/www.younited-credit.com?page=16,38,14-09-2024,1,0,0,0,2021,8,23,,72,1,1,',0,0,tres content de younited personnel agreable à l'écoute et de bon conseil,fr
bank,Younited Credit ,michel,Conforme en tous points à l'engagement…,Conforme en tous points à l'engagement prévu. Rien à redire !,,0.0,,2021-11-03,https://www.trustpilot.com/review/www.younited-credit.com?page=15,38,14-09-2024,1,0,0,0,2021,11,3,,61,2,3,',0,0,conforme en tous points à l'engagement prévu. rien à redire,fr
bank,Fortuneo ,MOHAMED MELKI,Good experience," January 10, 2024","Bonjour, Merci pour votre commentaire et votre confiance en Fortuneo. Nous sommes heureux de voir que nous avons pu répondre à vos besoins et de savoir que vous avez été satisfait de nos services. Très bonne journée, L’Équipe Fortuneo.",0.0,,2024-03-04,https://www.trustpilot.com/review/fortuneo.fr?page=9,10,14-09-2024,0,0,0,0,2024,3,4,,17,1,1,,0,0,"january 10, 2024",id
bank,Younited Credit ,Dimitri,Simple et rapide !," July 21, 2021","Bonjour Monsieur,Nous sommes enchantés de vous lire et ravis d’avoir contribué à la réalisation de votre projet de trésorerie.Bienvenue chez Younited. Excellente journée, Hassan de l'équipe Younited Credit",0.0,,2021-07-26,https://www.trustpilot.com/review/www.younited-credit.com?page=17,38,14-09-2024,1,0,0,0,2021,7,26,,14,1,1,,0,0,"july 21, 2021",fi
bank,Sumeria ,Nicolas,J’adore,J’adore !!! C’est super,Nous adorons également les retours comme les vôtres ! 🤩 Merci beaucoup ! À bientôt - L'équipe Lydia,0.0,,2022-05-05,https://www.trustpilot.com/review/sumeria.eu?page=46,51,14-09-2024,1,0,0,0,2022,5,5,,23,2,5,’’,0,0,j adore c est super,es
bank,Cofidis - O Cr&eacute;dito Por Telefone ,ISABELLE,Efficacité et confiance mutuelle,Très bonne relation client. Suivi du début a la conclusion du prêt; Délais respectés pour le versement des fonds. Réception des documents virtuels et papier par courrier. On se sent respecté.,,0.0,,2022-11-06,https://www.trustpilot.com/review/cofidis.pt?page=1,6,14-09-2024,0,0,0,0,2022,11,6,,191,5,5,;,0,0,très bonne relation client. suivi du début a la conclusion du prêt; délais respectés pour le versement des fonds. réception des documents virtuels et papier par courrier. on se sent respecté.,fr
bank,Qonto ,Silman,Excellent service!," November 07, 2019",Merci beaucoup pour ce joli retour! 💜,0.0,,2019-11-07,https://www.trustpilot.com/review/qonto.com?page=29,30,14-09-2024,0,0,0,0,2019,11,7,,18,1,1,,0,0,"november 07, 2019",no
bank,la Nef ,M. GUILLEUX Antoine,La banque française la plus éthique !," June 06, 2024",,0.0,,2024-06-06,https://www.trustpilot.com/review/www.lanef.com?page=6,6,14-09-2024,0,0,0,0,2024,6,6,,14,1,1,,0,0,"june 06, 2024",fr
bank,Cofidis ,JUANITA DUPORT,interlocuteurs à l 'écoute," February 12, 2023",Bonjour Juanita. Répondre à votre demande de la meilleure manière possible est une priorité pour nos conseillers ! Nous restons à votre disposition pour toutes vos futures demandes. Passez une bonne journée ! Valentin de l'équipe Cofidis,0.0,,2023-03-13,https://www.trustpilot.com/review/cofidis.fr?page=9,17,14-09-2024,0,0,0,0,2023,3,13,,18,1,1,,0,0,"february 12, 2023",en
bank,Younited Credit ,Aurelien,Efficace,"Simple, rapide, efficace. Des interlocuteurs à l'écoute. Je recommande vivement.",,0.0,,2018-10-23,https://www.trustpilot.com/review/www.younited-credit.com?page=28,38,14-09-2024,1,0,0,0,2018,10,23,,80,3,6,',0,0,"simple, rapide, efficace. des interlocuteurs à l'écoute. je recommande vivement.",fr
bank,Sumeria ,Vidic,Topp,"Top, service impeccable Je m’en sers au quotidien",,0.0,,2022-05-14,https://www.trustpilot.com/review/sumeria.eu?page=44,51,14-09-2024,1,0,0,0,2022,5,14,,49,2,2,’,0,0,"top, service impeccable je m en sers au quotidien",fr
bank,Younited Credit ,CK,Service au top.,Service au top!,"Bonjour**,**Nous vous remercions d’avoir pris le temps de nous laisser un message et sommes ravis de lire que vous être pleinement satisfait de votre expérience Younited.Excellente journée,Diane",0.0,,2022-06-29,https://www.trustpilot.com/review/www.younited-credit.com?page=9,38,14-09-2024,1,0,0,0,2022,6,29,,15,1,1,,0,0,service au top,ro
bank,Younited Credit ,HERNANDEZ,Outstanding / no comment," February 10, 2018","Bonjour Monsieur HERNANDEZ.Nous sommes ravis de lire que vous êtes pleinement satisfait de votre expérience Younited et sommes heureux de vous compter parmi nos clients.Excellente journée,l'équipe Younited Credit",0.0,,2018-02-10,https://www.trustpilot.com/review/www.younited-credit.com?page=31,38,14-09-2024,0,0,0,0,2018,2,10,,18,1,1,,0,0,"february 10, 2018",en
bank,Floabank ,Monsieur,Bonne application," June 23, 2021",,0.0,,2021-06-23,https://www.trustpilot.com/review/floabank.fr?page=4,5,14-09-2024,0,0,0,0,2021,6,23,,14,1,1,,0,0,"june 23, 2021",fr
bank,Sumeria ,Melissa Khadijatou,Parfait excellent," May 14, 2022",,0.0,,2022-05-14,https://www.trustpilot.com/review/sumeria.eu?page=44,51,14-09-2024,1,0,0,0,2022,5,14,,13,1,1,,0,0,"may 14, 2022",tl
bank,BoursoBank ,Nilay K,Good,GoodVery good,,0.0,,2024-06-13,https://www.trustpilot.com/review/boursobank.com?page=8,10,14-09-2024,0,0,0,0,2024,6,13,,13,2,0,,0,0,goodvery good,so
bank,Orange Bank ,Muriel Rose,"Humanisme, patience, efficacité",Efficacité totale,"Bonjour Muriel,A l'instar de la devise française, je pense que nous allons adopter la votre pour le service client Orange Bank et l'inscrire en lettres d'or quelque part dans le décor.✨ ""Humanisme, Patience, Efficacité""✨Merci pour cet avis d'une efficacité également totale .Bonne journée Romain",0.0,,2023-04-20,https://www.trustpilot.com/review/orangebank.fr?page=9,41,14-09-2024,0,0,0,0,2023,4,20,,17,1,0,,0,0,efficacité totale,fr
bank,Cofidis ,Lionel Assepo;,Contact rapide et efficace," October 24, 2022",Bonjour Lionel. Merci pour votre retour. A très bientôt chez Cofidis ! Laétitia l de l'équipe Cofidis.,0.0,,2022-10-24,https://www.trustpilot.com/review/cofidis.fr?page=4,17,14-09-2024,0,0,0,0,2022,10,24,,17,1,1,,0,0,"october 24, 2022",sv
bank,Qonto ,Marc,Simple,Simple - Efficace - Merci,"Bonjour Marc, nous vous remercions pour votre soutien précieux! Nous attachons beaucoup d’importance aux retours clients comme le votre et en ce sens, nous aimerions savoir ce qu’il manque pour obtenir votre 5ème ⭐️ ?N’hésitez pas à nous écrire sur notre e-mail dédié : happyclients@qonto.com  Très bonne journée!",0.0,,2021-07-07,https://www.trustpilot.com/review/qonto.com?page=25,30,14-09-2024,0,0,0,0,2021,7,7,,25,3,2,--,0,0,simple efficace merci,it
bank,Cofidis ,Anton,Très bon attention aux clients,Très bon attention aux clients. Je recommande vivement,Bonjour Anton. Merci pour votre commentaire et votre note 5 étoiles ! 🤩 A bientôt. Isabelle de l'équipe Cofidis.,0.0,,2024-07-09,https://www.trustpilot.com/review/cofidis.fr?page=1,17,14-09-2024,0,0,0,0,2024,7,9,,54,2,1,,0,0,très bon attention aux clients. je recommande vivement,fr
bank,Orange Bank ,Jerome,Demande de documents,Simple et rapide.,"Bonjour Jerome,Ravi d'avoir pu vous aider de façon précise et rapide.Nous restons à disposition si nécessaire.A bientôt,Philippe",0.0,,2022-03-24,https://www.trustpilot.com/review/orangebank.fr?page=32,41,14-09-2024,0,0,0,0,2022,3,24,,17,1,1,,0,0,simple et rapide.,fr
bank,Qonto ,Marc Juda Temin,REACTIVITE DANS LES QUESTIONS DEMANDEES,REACTIVITE DANS LES QUESTIONS DEMANDEES,"Bonjour Marc, Nous sommes ravis de lire que notre service client vous apporte entière satisfaction. 😊 Nous sommes à votre disposition si vous avez la moindre question. Très belle journée ! ☀️",0.0,,2024-04-05,https://www.trustpilot.com/review/qonto.com?page=8,30,14-09-2024,0,0,0,0,2024,4,5,,39,35,0,,0,0,reactivite dans les questions demandees,fr
bank,Sumeria ,Pierre,Top!,Hyper pratique,,0.0,,2022-05-31,https://www.trustpilot.com/review/sumeria.eu?page=42,51,14-09-2024,1,0,0,0,2022,5,31,,14,1,0,,0,0,hyper pratique,fr
bank,Orange Bank ,BAUDRY Eric,Satisfait du service Orange," September 28, 2023",Merci Eric d'avoir pris le temps de venir nous en faire part ici et d'aussi belle façon (5✨),0.0,,2023-10-27,https://www.trustpilot.com/review/orangebank.fr?page=7,41,14-09-2024,0,0,0,0,2023,10,27,,19,1,1,,0,0,"september 28, 2023",sv
bank,Qonto ,Frank Hodyjas,easy to handle,easy to handlesaves accounting work,"Hello Frank,We are happy to hear that you like our product and would recommend it. Thank you for the positive comment. 🙏",0.0,,2024-08-21,https://www.trustpilot.com/review/qonto.com?page=3,30,14-09-2024,0,0,0,0,2024,8,21,,35,0,0,,0,0,easy to handlesaves accounting work,en
bank,Younited Credit ,LOUIS,Service impeccable," June 26, 2017",,0.0,,2017-06-26,https://www.trustpilot.com/review/www.younited-credit.com?page=35,38,14-09-2024,0,0,0,0,2017,6,26,,14,1,1,,0,0,"june 26, 2017",fr
bank,Orange Bank ,Nicolas,Excellent service," April 22, 2022","Bonjour Nicolas, Merci pour ce retour qui en dit long. Nous sommes heureux de vous savoir satisfait de nos services. Une bonne journée, Elodie.",0.0,,2022-04-22,https://www.trustpilot.com/review/orangebank.fr?page=26,41,14-09-2024,0,0,0,0,2022,4,22,,15,1,1,,0,0,"april 22, 2022",ro
bank,Pixpay ,Nadia Bittame,Simple,"Simple, rapide et efficace",,0.0,,2021-10-13,https://www.trustpilot.com/review/pixpay.eu?page=11,13,14-09-2024,0,0,0,0,2021,10,13,,26,1,1,,0,0,"simple, rapide et efficace",fr
bank,Sumeria ,Ophelie,Super application rien a dire…,Super application rien a dire absolument rien,,0.0,,2022-06-05,https://www.trustpilot.com/review/sumeria.eu?page=41,51,14-09-2024,1,0,0,0,2022,6,5,,45,1,0,,0,0,super application rien a dire absolument rien,it
bank,Sumeria ,Mickael,Best money app,Love Lydia! Been using for the past 4 years,,0.0,,2022-07-22,https://www.trustpilot.com/review/sumeria.eu?page=34,51,14-09-2024,1,0,0,0,2022,7,22,,43,3,1,,0,0,love lydia been using for the past 4 years,en
bank,Sumeria ,karim,Top rien à dire bravo !," October 02, 2022",,0.0,,2022-10-02,https://www.trustpilot.com/review/sumeria.eu?page=26,51,14-09-2024,1,0,0,0,2022,10,2,,17,1,1,,0,0,"october 02, 2022",sv
bank,Qonto ,HJ Normey,This bank *solves* problems for your business,"This bank *solves* problems for your business, does not *create* them ...... fast, agile, yet serious. Best of both the neobanking and regular banking world.-Outstanding so far. Seamless onboarding.-","Hello HJ Normey, Thank you so much for your feedback! Feel free to contact us at happyclients@qonto.com if you have any questions; we’re always happy to help you! Have a lovely day. ☀️",0.0,,2023-07-04,https://www.trustpilot.com/review/qonto.com?page=14,30,14-09-2024,0,0,0,0,2023,7,4,,199,4,19,****--,0,0,"this bank solves problems for your business, does not create them ...... fast, agile, yet serious. best of both the neobanking and regular banking world. outstanding so far. seamless onboarding.",en
bank,Sumeria ,Audrey,Très contente de leur service,Super application,,0.0,,2022-08-26,https://www.trustpilot.com/review/sumeria.eu?page=29,51,14-09-2024,1,0,0,0,2022,8,26,,17,1,0,,0,0,super application,it
bank,Pixpay ,Sakina Malki,Super pratique," April 07, 2021","Merci pour ce message Sakina ⭐A très bientôt,Emma",0.0,,2021-04-07,https://www.trustpilot.com/review/pixpay.eu?page=13,13,14-09-2024,0,0,0,0,2021,4,7,,15,1,1,,0,0,"april 07, 2021",ro
bank,Qonto ,Catalina,Great live chat service!," August 01, 2024","Hello Catalina,Thank you, we are all thrilled to read that our customer service has fully met your expectations. 💪Have a great day. ☀️",0.0,,2024-08-01,https://www.trustpilot.com/review/qonto.com?page=5,30,14-09-2024,0,0,0,0,2024,8,1,,16,1,1,,0,0,"august 01, 2024",et
bank,Shine ,Antony,Simple et efficace," April 10, 2023",,0.0,,2023-04-11,https://www.trustpilot.com/review/shine.fr?page=2,6,14-09-2024,1,0,0,0,2023,4,11,,15,1,1,,0,0,"april 10, 2023",ro
bank,Pixpay ,Client,Service au top,Service au top. Excellente appli. Immédiatement adoptée par les parents et l'ado ;)#Happyusers #keeponthegoodwork,"Merci à vous pour ce message, ravie que toute la famille ait adopté Pixpay !#superclient #merci A très vite,Rebecca",0.0,,2021-09-02,https://www.trustpilot.com/review/pixpay.eu?page=11,13,14-09-2024,0,0,0,0,2021,9,2,,113,4,7,';)##,0,0,service au top. excellente appli. immédiatement adoptée par les parents et l'ado ; happyusers keeponthegoodwork,fr
bank,Qonto ,Yanis Dilukeba,Excellent.," June 08, 2024","Bonjour Yanis, nous vous remercions pour votre soutien précieux ! 🤩",0.0,,2024-06-08,https://www.trustpilot.com/review/qonto.com?page=10,30,14-09-2024,0,0,0,0,2024,6,8,,14,1,1,,0,0,"june 08, 2024",fr
bank,Cofidis - O Cr&eacute;dito Por Telefone ,FRANCK MANSO,je suis satisfait du prêt,"je suis satisfait du prêt , cela s'est fait assez rapidement et simplementmerci",,0.0,,2022-10-25,https://www.trustpilot.com/review/cofidis.pt?page=2,6,14-09-2024,0,0,0,0,2022,10,25,,79,0,2,',0,0,"je suis satisfait du prêt , cela s'est fait assez rapidement et simplementmerci",fr
bank,Sumeria ,Milande,It should be 0,It should be 0! They are wasting my time. They do not want to give my money back. The customer service is rubbish. You can not talk to someone on the phone. You have to deal with many emails for nothing. They are asking for IBAN and adding more processes than it was supposed to be! It's unbelievable,,0.0,,2023-10-09,https://www.trustpilot.com/review/sumeria.eu?page=11,51,14-09-2024,0,0,0,0,2023,10,9,,300,12,8,',0,0,it should be 0 they are wasting my time. they do not want to give my money back. the customer service is rubbish. you can not talk to someone on the phone. you have to deal with many emails for nothing. they are asking for iban and adding more processes than it was supposed to be it's unbelievable,en
